,Date,Temperature,Max,Min,Mean
0,2014-12-31T16:00:00Z,8℃ / 6℃,8,6,7.0
1,2015-01-01T16:00:00Z,12℃ / 6℃,12,6,9.0
2,2015-01-02T16:00:00Z,13℃ / 7℃,13,7,10.0
3,2015-01-03T16:00:00Z,13℃ / 7℃,13,7,10.0
4,2015-01-04T16:00:00Z,11℃ / 3℃,11,3,7.0
5,2015-01-05T16:00:00Z,6℃ / 3℃,6,3,4.5
6,2015-01-06T16:00:00Z,6℃ / 2℃,6,2,4.0
7,2015-01-07T16:00:00Z,5℃ / 1℃,5,1,3.0
8,2015-01-08T16:00:00Z,4℃ / 0℃,4,0,2.0
9,2015-01-09T16:00:00Z,6℃ / 3℃,6,3,4.5
10,2015-01-10T16:00:00Z,8℃ / 2℃,8,2,5.0
11,2015-01-11T16:00:00Z,10℃ / 1℃,10,1,5.5
12,2015-01-12T16:00:00Z,12℃ / 0℃,12,0,6.0
13,2015-01-13T16:00:00Z,11℃ / 3℃,11,3,7.0
14,2015-01-14T16:00:00Z,9℃ / 4℃,9,4,6.5
15,2015-01-15T16:00:00Z,8℃ / 5℃,8,5,6.5
16,2015-01-16T16:00:00Z,10℃ / 4℃,10,4,7.0
17,2015-01-17T16:00:00Z,6℃ / 2℃,6,2,4.0
18,2015-01-18T16:00:00Z,7℃ / 3℃,7,3,5.0
19,2015-01-19T16:00:00Z,11℃ / 2℃,11,2,6.5
20,2015-01-20T16:00:00Z,13℃ / 1℃,13,1,7.0
21,2015-01-21T16:00:00Z,15℃ / 7℃,15,7,11.0
22,2015-01-22T16:00:00Z,14℃ / 9℃,14,9,11.5
23,2015-01-23T16:00:00Z,14℃ / 11℃,14,11,12.5
24,2015-01-24T16:00:00Z,13℃ / 9℃,13,9,11.0
25,2015-01-25T16:00:00Z,15℃ / 10℃,15,10,12.5
26,2015-01-26T16:00:00Z,16℃ / 7℃,16,7,11.5
27,2015-01-27T16:00:00Z,10℃ / 1℃,10,1,5.5
28,2015-01-28T16:00:00Z,2℃ / -1℃,2,1,1.5
29,2015-01-29T16:00:00Z,1℃ / -3℃,1,3,2.0
30,2015-01-30T16:00:00Z,-1℃ / -3℃,1,3,2.0
31,2015-01-31T16:00:00Z,2℃ / 0℃,2,0,1.0
32,2015-02-01T16:00:00Z,7℃ / 3℃,7,3,5.0
33,2015-02-02T16:00:00Z,6℃ / 1℃,6,1,3.5
34,2015-02-03T16:00:00Z,4℃ / 0℃,4,0,2.0
35,2015-02-04T16:00:00Z,3℃ / 0℃,3,0,1.5
36,2015-02-05T16:00:00Z,9℃ / 2℃,9,2,5.5
37,2015-02-06T16:00:00Z,8℃ / 3℃,8,3,5.5
38,2015-02-07T16:00:00Z,7℃ / 3℃,7,3,5.0
39,2015-02-08T16:00:00Z,6℃ / 4℃,6,4,5.0
40,2015-02-09T16:00:00Z,6℃ / 3℃,6,3,4.5
41,2015-02-10T16:00:00Z,11℃ / 3℃,11,3,7.0
42,2015-02-11T16:00:00Z,15℃ / 5℃,15,5,10.0
43,2015-02-12T16:00:00Z,17℃ / 8℃,17,8,12.5
44,2015-02-13T16:00:00Z,16℃ / 10℃,16,10,13.0
45,2015-02-14T16:00:00Z,19℃ / 8℃,19,8,13.5
46,2015-02-15T16:00:00Z,15℃ / 9℃,15,9,12.0
47,2015-02-16T16:00:00Z,17℃ / 11℃,17,11,14.0
48,2015-02-17T16:00:00Z,20℃ / 14℃,20,14,17.0
49,2015-02-18T16:00:00Z,22℃ / 14℃,22,14,18.0
50,2015-02-19T16:00:00Z,23℃ / 11℃,23,11,17.0
51,2015-02-20T16:00:00Z,16℃ / 9℃,16,9,12.5
52,2015-02-21T16:00:00Z,11℃ / 7℃,11,7,9.0
53,2015-02-22T16:00:00Z,16℃ / 8℃,16,8,12.0
54,2015-02-23T16:00:00Z,20℃ / 9℃,20,9,14.5
55,2015-02-24T16:00:00Z,15℃ / 8℃,15,8,11.5
56,2015-02-25T16:00:00Z,12℃ / 9℃,12,9,10.5
57,2015-02-26T16:00:00Z,21℃ / 5℃,21,5,13.0
58,2015-02-27T16:00:00Z,8℃ / 4℃,8,4,6.0
59,2015-02-28T16:00:00Z,9℃ / 3℃,9,3,6.0
60,2015-03-01T16:00:00Z,9℃ / 2℃,9,2,5.5
61,2015-03-02T16:00:00Z,8℃ / 3℃,8,3,5.5
62,2015-03-03T16:00:00Z,6℃ / 1℃,6,1,3.5
63,2015-03-04T16:00:00Z,4℃ / 1℃,4,1,2.5
64,2015-03-05T16:00:00Z,5℃ / 3℃,5,3,4.0
65,2015-03-06T16:00:00Z,10℃ / 5℃,10,5,7.5
66,2015-03-07T16:00:00Z,11℃ / 6℃,11,6,8.5
67,2015-03-08T16:00:00Z,10℃ / 5℃,10,5,7.5
68,2015-03-09T16:00:00Z,8℃ / 4℃,8,4,6.0
69,2015-03-10T16:00:00Z,8℃ / 4℃,8,4,6.0
70,2015-03-11T16:00:00Z,16℃ / 10℃,16,10,13.0
71,2015-03-12T16:00:00Z,17℃ / 12℃,17,12,14.5
72,2015-03-13T16:00:00Z,17℃ / 12℃,17,12,14.5
73,2015-03-14T16:00:00Z,18℃ / 13℃,18,13,15.5
74,2015-03-15T16:00:00Z,20℃ / 15℃,20,15,17.5
75,2015-03-16T16:00:00Z,25℃ / 14℃,25,14,19.5
76,2015-03-17T16:00:00Z,24℃ / 14℃,24,14,19.0
77,2015-03-18T16:00:00Z,26℃ / 12℃,26,12,19.0
78,2015-03-19T16:00:00Z,14℃ / 10℃,14,10,12.0
79,2015-03-20T16:00:00Z,16℃ / 11℃,16,11,13.5
80,2015-03-21T16:00:00Z,19℃ / 10℃,19,10,14.5
81,2015-03-22T16:00:00Z,17℃ / 9℃,17,9,13.0
82,2015-03-23T16:00:00Z,13℃ / 7℃,13,7,10.0
83,2015-03-24T16:00:00Z,14℃ / 9℃,14,9,11.5
84,2015-03-25T16:00:00Z,17℃ / 12℃,17,12,14.5
85,2015-03-26T16:00:00Z,18℃ / 13℃,18,13,15.5
86,2015-03-27T16:00:00Z,17℃ / 14℃,17,14,15.5
87,2015-03-28T16:00:00Z,18℃ / 15℃,18,15,16.5
88,2015-03-29T16:00:00Z,24℃ / 17℃,24,17,20.5
89,2015-03-30T16:00:00Z,28℃ / 19℃,28,19,23.5
90,2015-03-31T16:00:00Z,29℃ / 19℃,29,19,24.0
91,2015-04-01T16:00:00Z,30℃ / 18℃,30,18,24.0
92,2015-04-02T16:00:00Z,30℃ / 19℃,30,19,24.5
93,2015-04-03T16:00:00Z,29℃ / 18℃,29,18,23.5
94,2015-04-04T16:00:00Z,30℃ / 12℃,30,12,21.0
95,2015-04-05T16:00:00Z,17℃ / 7℃,17,7,12.0
96,2015-04-06T16:00:00Z,9℃ / 5℃,9,5,7.0
97,2015-04-07T16:00:00Z,10℃ / 6℃,10,6,8.0
98,2015-04-08T16:00:00Z,11℃ / 7℃,11,7,9.0
99,2015-04-09T16:00:00Z,12℃ / 8℃,12,8,10.0
100,2015-04-10T16:00:00Z,15℃ / 9℃,15,9,12.0
101,2015-04-11T16:00:00Z,21℃ / 7℃,21,7,14.0
102,2015-04-12T16:00:00Z,23℃ / 8℃,23,8,15.5
103,2015-04-13T16:00:00Z,22℃ / 9℃,22,9,15.5
104,2015-04-14T16:00:00Z,24℃ / 16℃,24,16,20.0
105,2015-04-15T16:00:00Z,29℃ / 17℃,29,17,23.0
106,2015-04-16T16:00:00Z,28℃ / 19℃,28,19,23.5
107,2015-04-17T16:00:00Z,29℃ / 16℃,29,16,22.5
108,2015-04-18T16:00:00Z,22℃ / 13℃,22,13,17.5
109,2015-04-19T16:00:00Z,20℃ / 11℃,20,11,15.5
110,2015-04-20T16:00:00Z,17℃ / 10℃,17,10,13.5
111,2015-04-21T16:00:00Z,15℃ / 10℃,15,10,12.5
112,2015-04-22T16:00:00Z,16℃ / 10℃,16,10,13.0
113,2015-04-23T16:00:00Z,16℃ / 11℃,16,11,13.5
114,2015-04-24T16:00:00Z,20℃ / 11℃,20,11,15.5
115,2015-04-25T16:00:00Z,18℃ / 14℃,18,14,16.0
116,2015-04-26T16:00:00Z,21℃ / 14℃,21,14,17.5
117,2015-04-27T16:00:00Z,25℃ / 15℃,25,15,20.0
118,2015-04-28T16:00:00Z,26℃ / 16℃,26,16,21.0
119,2015-04-29T16:00:00Z,25℃ / 17℃,25,17,21.0
120,2015-04-30T16:00:00Z,25℃ / 14℃,25,14,19.5
121,2015-05-01T16:00:00Z,26℃ / 16℃,26,16,21.0
122,2015-05-02T16:00:00Z,25℃ / 15℃,25,15,20.0
123,2015-05-03T16:00:00Z,20℃ / 14℃,20,14,17.0
124,2015-05-04T16:00:00Z,21℃ / 15℃,21,15,18.0
125,2015-05-05T16:00:00Z,25℃ / 16℃,25,16,20.5
126,2015-05-06T16:00:00Z,23℃ / 17℃,23,17,20.0
127,2015-05-07T16:00:00Z,25℃ / 15℃,25,15,20.0
128,2015-05-08T16:00:00Z,23℃ / 16℃,23,16,19.5
129,2015-05-09T16:00:00Z,25℃ / 14℃,25,14,19.5
130,2015-05-10T16:00:00Z,24℃ / 13℃,24,13,18.5
131,2015-05-11T16:00:00Z,24℃ / 13℃,24,13,18.5
132,2015-05-12T16:00:00Z,26℃ / 19℃,26,19,22.5
133,2015-05-13T16:00:00Z,27℃ / 20℃,27,20,23.5
134,2015-05-14T16:00:00Z,25℃ / 16℃,25,16,20.5
135,2015-05-15T16:00:00Z,23℃ / 17℃,23,17,20.0
136,2015-05-16T16:00:00Z,25℃ / 17℃,25,17,21.0
137,2015-05-17T16:00:00Z,25℃ / 18℃,25,18,21.5
138,2015-05-18T16:00:00Z,25℃ / 18℃,25,18,21.5
139,2015-05-19T16:00:00Z,23℃ / 17℃,23,17,20.0
140,2015-05-20T16:00:00Z,24℃ / 16℃,24,16,20.0
141,2015-05-21T16:00:00Z,19℃ / 14℃,19,14,16.5
142,2015-05-22T16:00:00Z,19℃ / 14℃,19,14,16.5
143,2015-05-23T16:00:00Z,24℃ / 18℃,24,18,21.0
144,2015-05-24T16:00:00Z,26℃ / 19℃,26,19,22.5
145,2015-05-25T16:00:00Z,26℃ / 20℃,26,20,23.0
146,2015-05-26T16:00:00Z,26℃ / 20℃,26,20,23.0
147,2015-05-27T16:00:00Z,29℃ / 19℃,29,19,24.0
148,2015-05-28T16:00:00Z,24℃ / 17℃,24,17,20.5
149,2015-05-29T16:00:00Z,23℃ / 17℃,23,17,20.0
150,2015-05-30T16:00:00Z,25℃ / 19℃,25,19,22.0
151,2015-05-31T16:00:00Z,29℃ / 21℃,29,21,25.0
152,2015-06-01T16:00:00Z,27℃ / 21℃,27,21,24.0
153,2015-06-02T16:00:00Z,24℃ / 19℃,24,19,21.5
154,2015-06-03T16:00:00Z,24℃ / 18℃,24,18,21.0
155,2015-06-04T16:00:00Z,23℃ / 18℃,23,18,20.5
156,2015-06-05T16:00:00Z,25℃ / 19℃,25,19,22.0
157,2015-06-06T16:00:00Z,21℃ / 18℃,21,18,19.5
158,2015-06-07T16:00:00Z,21℃ / 17℃,21,17,19.0
159,2015-06-08T16:00:00Z,25℃ / 19℃,25,19,22.0
160,2015-06-09T16:00:00Z,25℃ / 18℃,25,18,21.5
161,2015-06-10T16:00:00Z,25℃ / 20℃,25,20,22.5
162,2015-06-11T16:00:00Z,28℃ / 19℃,28,19,23.5
163,2015-06-12T16:00:00Z,23℃ / 18℃,23,18,20.5
164,2015-06-13T16:00:00Z,23℃ / 19℃,23,19,21.0
165,2015-06-14T16:00:00Z,25℃ / 21℃,25,21,23.0
166,2015-06-15T16:00:00Z,27℃ / 21℃,27,21,24.0
167,2015-06-16T16:00:00Z,28℃ / 19℃,28,19,23.5
168,2015-06-17T16:00:00Z,23℃ / 18℃,23,18,20.5
169,2015-06-18T16:00:00Z,24℃ / 19℃,24,19,21.5
170,2015-06-19T16:00:00Z,24℃ / 19℃,24,19,21.5
171,2015-06-20T16:00:00Z,22℃ / 19℃,22,19,20.5
172,2015-06-21T16:00:00Z,25℃ / 20℃,25,20,22.5
173,2015-06-22T16:00:00Z,28℃ / 21℃,28,21,24.5
174,2015-06-23T16:00:00Z,28℃ / 21℃,28,21,24.5
175,2015-06-24T16:00:00Z,28℃ / 21℃,28,21,24.5
176,2015-06-25T16:00:00Z,28℃ / 21℃,28,21,24.5
177,2015-06-26T16:00:00Z,30℃ / 23℃,30,23,26.5
178,2015-06-27T16:00:00Z,31℃ / 23℃,31,23,27.0
179,2015-06-28T16:00:00Z,31℃ / 23℃,31,23,27.0
180,2015-06-29T16:00:00Z,30℃ / 22℃,30,22,26.0
181,2015-06-30T16:00:00Z,25℃ / 20℃,25,20,22.5
182,2015-07-01T16:00:00Z,26℃ / 20℃,26,20,23.0
183,2015-07-02T16:00:00Z,24℃ / 19℃,24,19,21.5
184,2015-07-03T16:00:00Z,21℃ / 16℃,21,16,18.5
185,2015-07-04T16:00:00Z,20℃ / 16℃,20,16,18.0
186,2015-07-05T16:00:00Z,26℃ / 15℃,26,15,20.5
187,2015-07-06T16:00:00Z,26℃ / 16℃,26,16,21.0
188,2015-07-07T16:00:00Z,27℃ / 17℃,27,17,22.0
189,2015-07-08T16:00:00Z,27℃ / 17℃,27,17,22.0
190,2015-07-09T16:00:00Z,28℃ / 18℃,28,18,23.0
191,2015-07-10T16:00:00Z,28℃ / 19℃,28,19,23.5
192,2015-07-11T16:00:00Z,30℃ / 20℃,30,20,25.0
193,2015-07-12T16:00:00Z,31℃ / 21℃,31,21,26.0
194,2015-07-13T16:00:00Z,30℃ / 20℃,30,20,25.0
195,2015-07-14T16:00:00Z,25℃ / 18℃,25,18,21.5
196,2015-07-15T16:00:00Z,27℃ / 19℃,27,19,23.0
197,2015-07-16T16:00:00Z,27℃ / 19℃,27,19,23.0
198,2015-07-17T16:00:00Z,29℃ / 20℃,29,20,24.5
199,2015-07-18T16:00:00Z,29℃ / 20℃,29,20,24.5
200,2015-07-19T16:00:00Z,27℃ / 20℃,27,20,23.5
201,2015-07-20T16:00:00Z,29℃ / 21℃,29,21,25.0
202,2015-07-21T16:00:00Z,26℃ / 19℃,26,19,22.5
203,2015-07-22T16:00:00Z,25℃ / 20℃,25,20,22.5
204,2015-07-23T16:00:00Z,27℃ / 20℃,27,20,23.5
205,2015-07-24T16:00:00Z,27℃ / 20℃,27,20,23.5
206,2015-07-25T16:00:00Z,28℃ / 19℃,28,19,23.5
207,2015-07-26T16:00:00Z,29℃ / 19℃,29,19,24.0
208,2015-07-27T16:00:00Z,25℃ / 20℃,25,20,22.5
209,2015-07-28T16:00:00Z,26℃ / 19℃,26,19,22.5
210,2015-07-29T16:00:00Z,26℃ / 19℃,26,19,22.5
211,2015-07-30T16:00:00Z,25℃ / 19℃,25,19,22.0
212,2015-07-31T16:00:00Z,26℃ / 19℃,26,19,22.5
213,2015-08-01T16:00:00Z,27℃ / 19℃,27,19,23.0
214,2015-08-02T16:00:00Z,26℃ / 19℃,26,19,22.5
215,2015-08-03T16:00:00Z,26℃ / 19℃,26,19,22.5
216,2015-08-04T16:00:00Z,26℃ / 19℃,26,19,22.5
217,2015-08-05T16:00:00Z,26℃ / 20℃,26,20,23.0
218,2015-08-06T16:00:00Z,26℃ / 20℃,26,20,23.0
219,2015-08-07T16:00:00Z,27℃ / 19℃,27,19,23.0
220,2015-08-08T16:00:00Z,26℃ / 19℃,26,19,22.5
221,2015-08-09T16:00:00Z,28℃ / 20℃,28,20,24.0
222,2015-08-10T16:00:00Z,27℃ / 19℃,27,19,23.0
223,2015-08-11T16:00:00Z,26℃ / 19℃,26,19,22.5
224,2015-08-12T16:00:00Z,27℃ / 19℃,27,19,23.0
225,2015-08-13T16:00:00Z,29℃ / 21℃,29,21,25.0
226,2015-08-14T16:00:00Z,28℃ / 21℃,28,21,24.5
227,2015-08-15T16:00:00Z,28℃ / 21℃,28,21,24.5
228,2015-08-16T16:00:00Z,27℃ / 21℃,27,21,24.0
229,2015-08-17T16:00:00Z,24℃ / 18℃,24,18,21.0
230,2015-08-18T16:00:00Z,22℃ / 18℃,22,18,20.0
231,2015-08-19T16:00:00Z,23℃ / 17℃,23,17,20.0
232,2015-08-20T16:00:00Z,26℃ / 17℃,26,17,21.5
233,2015-08-21T16:00:00Z,29℃ / 17℃,29,17,23.0
234,2015-08-22T16:00:00Z,28℃ / 18℃,28,18,23.0
235,2015-08-23T16:00:00Z,25℃ / 17℃,25,17,21.0
236,2015-08-24T16:00:00Z,21℃ / 17℃,21,17,19.0
237,2015-08-25T16:00:00Z,21℃ / 18℃,21,18,19.5
