id,work,address,salary,request,nation,descripe,city,salary_low,salary_high,diploma,class,class_name,class_name_english,diploma_english,work_english
1,iOS,北京-新街口,20k-35k,经验3-5年 / 本科,"移动互联网,企业服务 / 上市公司",“上市公司，持续股权激励，技术极客云集！”,北京,20,35, 本科, 上市公司, 上市公司,SHGS,BK,ios
2,iOS,上海-东方路,15k-30k,经验3-5年 / 本科,金融 / 成熟型(C轮),“C轮 技术金融 零食饮料 补充医疗保险 体检”,上海,15,30, 本科, 成熟型(C轮), 成熟型,CSX,BK,ios
3,iOS,北京-建外大…,20k-30k,经验3-5年 / 本科,"移动互联网,社交网络 / 成长型(B轮)",“六险一金、带薪年假、免费早晚饭、年终奖”,北京,20,30, 本科, 成长型(B轮), 成长型,CZX,BK,ios
4,iOS,杭州-长河,12k-22k,经验3-5年 / 大专,"移动互联网,数据服务 / 成熟型(C轮)",“五险一金 补充商业保险 年度旅游 工会活动”,杭州,12,22, 大专, 成熟型(C轮), 成熟型,CSX,DZ,ios
5,iOS,北京-望京,20k-30k,经验1-3年 / 本科,"移动互联网,广告营销 / 初创型(不需要融资)",“团队技术大牛，三餐零食免费，20万+股票”,北京,20,30, 本科, 初创型(不需要融资), 初创型,CCX,BK,ios
6,iOS,杭州-江干区,10k-18k,经验3-5年 / 不限,移动互联网 / 上市公司,“领导nice、团队氛围好、美女师哥多多”,杭州,10,18, 不限, 上市公司, 上市公司,SHGS,QT,ios
7,iOS,天津-国际大…,10k-15k,经验3-5年 / 大专,金融 / 初创型(未融资),“金融行业、五险一金、假期众多、年终奖”,天津,10,15, 大专, 初创型(未融资), 初创型,CCX,DZ,ios
8,iOS,杭州,18k-30k,经验5-10年 / 本科,"移动互联网,社交网络 / 上市公司","“全球化产品,晋升机会,全员持股,上市公司”",杭州,18,30, 本科, 上市公司, 上市公司,SHGS,BK,ios
9,iOS,宁波-鄞州区,8k-15k,经验3-5年 / 本科,"移动互联网,企业服务 / 成长型(A轮)",“一流的技术团队，丰厚的薪资回报”,宁波,8,15, 本科, 成长型(A轮), 成长型,CZX,BK,ios
10,iOS,重庆-洋河花…,8k-16k,经验3-5年 / 大专,移动互联网 / 成长型(不需要融资),“周末双休带薪年假弹性工作，漂亮妹纸超级多”,重庆,8,16, 大专, 成长型(不需要融资), 成长型,CZX,DZ,ios
11,iOS,长沙-五一广…,8k-10k,经验3-5年 / 不限,"电子商务,O2O / 初创型(未融资)","“发展平台好,晋升空间大”",长沙,8,10, 不限, 初创型(未融资), 初创型,CCX,QT,ios
12,iOS,上海-漕宝路,12k-24k,经验3-5年 / 本科,"移动互联网,金融 / 成长型(B轮)",“无限发挥，快来和牛逼的团队一起战斗！”,上海,12,24, 本科, 成长型(B轮), 成长型,CZX,BK,ios
13,iOS,北京,20k-30k,经验5-10年 / 本科,"企业服务,数据服务 / 成长型(B轮)",“团队强悍，待遇丰厚”,北京,20,30, 本科, 成长型(B轮), 成长型,CZX,BK,ios
14,iOS,天津,10k-20k,经验3-5年 / 本科,"移动互联网,医疗健康 / 成长型(A轮)",“出国学习弹性时间带薪年假员工福利”,天津,10,20, 本科, 成长型(A轮), 成长型,CZX,BK,ios
15,iOS,昆明,8k-16k,经验1-3年 / 本科,"移动互联网,O2O / 成长型(不需要融资)",“靠谱福利，一线薪资，与大牛同行”,昆明,8,16, 本科, 成长型(不需要融资), 成长型,CZX,BK,ios
16,iOS,北京-新街口,20k-35k,经验3-5年 / 本科,"移动互联网,企业服务 / 上市公司",“上市公司，极牛汇集，持续的股权激励政策！”,北京,20,35, 本科, 上市公司, 上市公司,SHGS,BK,ios
17,iOS,北京-西单,10k-20k,经验1-3年 / 本科,移动互联网 / 成长型(不需要融资),“工作地点便利、年度体检、年终奖”,北京,10,20, 本科, 成长型(不需要融资), 成长型,CZX,BK,ios
18,iOS,北京-大山子,20k-40k,经验3-5年 / 本科,"移动互联网,企业服务 / 成长型(不需要融资)",“周末双休 弹性工作时间 五险一金 各种福利”,北京,20,40, 本科, 成长型(不需要融资), 成长型,CZX,BK,ios
19,iOS,南京,10k-15k,经验3-5年 / 本科,"移动互联网,金融 / 初创型(不需要融资)",“超人性化创新型的互联网公司，等待你的加入”,南京,10,15, 本科, 初创型(不需要融资), 初创型,CCX,BK,ios
20,iOS,长沙,6k-12k,经验3-5年 / 大专,"移动互联网,金融 / 初创型(未融资)",“五险一金”,长沙,6,12, 大专, 初创型(未融资), 初创型,CCX,DZ,ios
21,iOS,广州-员村,15k-25k,经验3-5年 / 本科,教育 / 初创型(不需要融资),“期权激励；大牛带飞；行业前景；文化氛围”,广州,15,25, 本科, 初创型(不需要融资), 初创型,CCX,BK,ios
22,iOS,成都-石羊,10k-15k,经验3-5年 / 不限,"移动互联网,电子商务 / 成长型(A轮)",“年终绩效奖、公司发展前景巨好、领导nice”,成都,10,15, 不限, 成长型(A轮), 成长型,CZX,QT,ios
23,iOS,杭州-西兴,15k-25k,经验3-5年 / 本科,"移动互联网,O2O / 成长型(B轮)",“技术氛围好，五险一金，弹性工作，打车下班”,杭州,15,25, 本科, 成长型(B轮), 成长型,CZX,BK,ios
24,iOS,上海-斜土路,15k-30k,经验3-5年 / 本科,"移动互联网,硬件 / 成长型(A轮)",“欧美用户、去硅谷工作机会”,上海,15,30, 本科, 成长型(A轮), 成长型,CZX,BK,ios
25,iOS,杭州-文三路,18k-30k,经验5-10年 / 本科,"移动互联网,社交网络 / 上市公司","“全球化产品,晋升机会,全员持股,上市公司”",杭州,18,30, 本科, 上市公司, 上市公司,SHGS,BK,ios
26,iOS,北京,20k-35k,经验3-5年 / 本科,"移动互联网,企业服务 / 上市公司",“上市公司，持续股权激励，技术极客云集！”,北京,20,35, 本科, 上市公司, 上市公司,SHGS,BK,ios
27,iOS,杭州-长河,9k-17k,经验1-3年 / 大专,"移动互联网,数据服务 / 成熟型(C轮)",“五险一金 补充商业保险 年度旅游 工会活动”,杭州,9,17, 大专, 成熟型(C轮), 成熟型,CSX,DZ,ios
28,iOS,杭州-文三路,15k-25k,经验3-5年 / 本科,"移动互联网,社交网络 / 上市公司",“每半年调整薪资，上市公司”,杭州,15,25, 本科, 上市公司, 上市公司,SHGS,BK,ios
